*       ,00,a,10,0.33    ,#0a->3
*       ,00,b,00,1.0     ,#0b->2; 02b->4; 04b->0
*       ,10,a,00,1.0     ,#1a->0; 3a->4
*       ,10,b,10,1.0     ,#1b->1; 3b->1
*       ,00,a,00,0.33    ,#2a->2
*       ,00,a,01,0.20    ,#4a->even goal
*       ,00,a,11,0.13    ,#4a->odd goal
*       ,01,a,10,0.33    ,#g 0a->3
*       ,01,b,00,1.0     ,#g 0b->2; 02b->4; 04b->0
*       ,11,a,00,1.0     ,#g 1a->0; 3a->4
*       ,11,b,10,1.0     ,#g 1b->1; 3b->1
*       ,01,a,00,0.33    ,#g 2a->2
*       ,01,a,01,0.20    ,#g 4a->even goal
*       ,01,a,11,0.13    ,#g 4a->odd goal
1/8     ,10,a,00,1.0     ,#3->4
1/8     ,10,b,10,1.0     ,#3->1
5/12/17 ,00,a,00,1.0     ,#2->2  (recursive)
5/12/17 ,00,b,00,1.0     ,#2->4
16      ,10,a,00,1.0     ,#1->0
16/20   ,10,b,10,1.0     ,#1->1 (recursive)
19      ,00,a,10,1.0     ,#0->3
19      ,00,b,00,1.0     ,#0->2
15/18   ,00,a,01,0.5     ,#4->even goal
15/18   ,00,a,11,0.5     ,#4->odd goal
15/18   ,00,b,00,1.0     ,#4->0



